Op	InType	OutType	Template	DesignStat	DPD	TWDFR
mul_by_65536	signed32	signed32	sync	impl	0,388	-0,019
mul_by_65536	signed64	signed64	sync	impl	0,388	-0,019
div_by_65536	unsigned32	unsigned32	sync	impl	0,388	-0,019
div_by_65536	unsigned64	unsigned64	sync	impl	0,454	-0,019
div_by_65536	signed32	signed32	sync	impl	2,137	-0,043
div_by_65536	signed64	signed64	sync	impl	2,601	-0,187
dotnet_shift_left_by_17	unsigned64	unsigned64	sync	impl	0,382	-0,019
dotnet_shift_left_by_17	signed64	signed64	sync	impl	0,382	-0,019
dotnet_shift_right_by_17	unsigned64	unsigned64	sync	impl	0,454	-0,019
dotnet_shift_right_by_17	signed64	signed64	sync	impl	1,157	-0,079
dotnet_shift_left_by_17	unsigned32	unsigned32	sync	impl	0,382	-0,019
dotnet_shift_left_by_17	signed32	signed32	sync	impl	0,382	-0,019
dotnet_shift_right_by_17	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_right_by_17	signed32	signed32	sync	impl	1,219	-0,089
mul_by_131072	unsigned32	unsigned32	sync	impl	0,382	-0,019
mul_by_131072	unsigned64	unsigned64	sync	impl	0,382	-0,019
mul_by_131072	signed32	signed32	sync	impl	0,382	-0,019
mul_by_131072	signed64	signed64	sync	impl	0,382	-0,019
div_by_131072	unsigned32	unsigned32	sync	impl	0,388	-0,019
div_by_131072	unsigned64	unsigned64	sync	impl	0,454	-0,019
div_by_131072	signed32	signed32	sync	impl	2,138	-0,106
div_by_131072	signed64	signed64	sync	impl	2,603	-0,096
dotnet_shift_left_by_18	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_left_by_18	signed64	signed64	sync	impl	0,388	-0,019
dotnet_shift_right_by_18	unsigned64	unsigned64	sync	impl	0,454	-0,019
dotnet_shift_right_by_18	signed64	signed64	sync	impl	1,182	-0,083
dotnet_shift_left_by_18	unsigned32	unsigned32	sync	impl	0,504	-0,019
dotnet_shift_left_by_18	signed32	signed32	sync	impl	0,504	-0,019
dotnet_shift_right_by_18	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_right_by_18	signed32	signed32	sync	impl	1,240	-0,092
mul_by_262144	unsigned32	unsigned32	sync	impl	0,504	-0,019
mul_by_262144	unsigned64	unsigned64	sync	impl	0,388	-0,019
mul_by_262144	signed32	signed32	sync	impl	0,504	-0,019
mul_by_262144	signed64	signed64	sync	impl	0,388	-0,019
div_by_262144	unsigned32	unsigned32	sync	impl	0,388	-0,019
div_by_262144	unsigned64	unsigned64	sync	impl	0,454	-0,019
div_by_262144	signed32	signed32	sync	impl	2,278	-0,047
div_by_262144	signed64	signed64	sync	impl	2,580	-0,040
dotnet_shift_left_by_19	unsigned64	unsigned64	sync	impl	0,382	-0,019
dotnet_shift_left_by_19	signed64	signed64	sync	impl	0,382	-0,019
dotnet_shift_right_by_19	unsigned64	unsigned64	sync	impl	0,454	-0,019
dotnet_shift_right_by_19	signed64	signed64	sync	impl	0,746	-0,045
dotnet_shift_left_by_19	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_left_by_19	signed32	signed32	sync	impl	0,388	-0,019
dotnet_shift_right_by_19	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_right_by_19	signed32	signed32	sync	impl	1,289	-0,091
mul_by_524288	unsigned32	unsigned32	sync	impl	0,388	-0,019
