Op	InType	OutType	Template	DesignStat	DPD	TWDFR
dotnet_shift_right_by_19	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_19	signed64	signed64	sync	impl	0,710	-0,125
dotnet_shift_left_by_19	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_left_by_19	signed32	signed32	sync	impl	0,388	-0,019
dotnet_shift_right_by_19	unsigned32	unsigned32	sync	impl	0,514	-0,019
dotnet_shift_right_by_19	signed32	signed32	sync	impl	0,542	-0,042
mul_by_524288	unsigned32	unsigned32	sync	impl	0,388	-0,019
mul_by_524288	unsigned64	unsigned64	sync	impl	0,406	-0,135
mul_by_524288	signed32	signed32	sync	impl	0,388	-0,019
mul_by_524288	signed64	signed64	sync	impl	0,406	-0,135
div_by_524288	unsigned32	unsigned32	sync	impl	0,514	-0,019
div_by_524288	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_524288	signed32	signed32	sync	impl	2,131	-0,099
div_by_524288	signed64	signed64	sync	impl	2,268	-0,072
dotnet_shift_left_by_20	unsigned64	unsigned64	sync	impl	0,415	-0,135
dotnet_shift_left_by_20	signed64	signed64	sync	impl	0,415	-0,135
dotnet_shift_right_by_20	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_20	signed64	signed64	sync	impl	0,565	-0,117
dotnet_shift_left_by_20	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_left_by_20	signed32	signed32	sync	impl	0,388	-0,019
dotnet_shift_right_by_20	unsigned32	unsigned32	sync	impl	0,456	-0,018
dotnet_shift_right_by_20	signed32	signed32	sync	impl	0,608	-0,021
mul_by_1048576	unsigned32	unsigned32	sync	impl	0,388	-0,019
mul_by_1048576	unsigned64	unsigned64	sync	impl	0,415	-0,135
mul_by_1048576	signed32	signed32	sync	impl	0,388	-0,019
mul_by_1048576	signed64	signed64	sync	impl	0,415	-0,135
div_by_1048576	unsigned32	unsigned32	sync	impl	0,456	-0,018
div_by_1048576	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_1048576	signed32	signed32	sync	impl	1,981	-0,062
div_by_1048576	signed64	signed64	sync	impl	2,235	-0,073
dotnet_shift_left_by_21	unsigned64	unsigned64	sync	impl	0,375	-0,041
dotnet_shift_left_by_21	signed64	signed64	sync	impl	0,375	-0,041
dotnet_shift_right_by_21	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_21	signed64	signed64	sync	impl	0,754	-0,129
dotnet_shift_left_by_21	unsigned32	unsigned32	sync	impl	0,388	-0,019
dotnet_shift_left_by_21	signed32	signed32	sync	impl	0,388	-0,019
dotnet_shift_right_by_21	unsigned32	unsigned32	sync	impl	0,368	-0,019
dotnet_shift_right_by_21	signed32	signed32	sync	impl	0,589	-0,023
mul_by_2097152	unsigned32	unsigned32	sync	impl	0,388	-0,019
mul_by_2097152	unsigned64	unsigned64	sync	impl	0,375	-0,041
mul_by_2097152	signed32	signed32	sync	impl	0,388	-0,019
mul_by_2097152	signed64	signed64	sync	impl	0,375	-0,041
div_by_2097152	unsigned32	unsigned32	sync	impl	0,368	-0,019
div_by_2097152	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_2097152	signed32	signed32	sync	impl	2,086	-0,098
div_by_2097152	signed64	signed64	sync	impl	2,346	-0,063
dotnet_shift_left_by_22	unsigned64	unsigned64	sync	impl	0,526	-0,135
dotnet_shift_left_by_22	signed64	signed64	sync	impl	0,526	-0,135
dotnet_shift_right_by_22	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_22	signed64	signed64	sync	impl	0,661	-0,120
dotnet_shift_left_by_22	unsigned32	unsigned32	sync	impl	0,376	-0,019
dotnet_shift_left_by_22	signed32	signed32	sync	impl	0,376	-0,019
dotnet_shift_right_by_22	unsigned32	unsigned32	sync	impl	0,376	-0,019
dotnet_shift_right_by_22	signed32	signed32	sync	impl	1,230	-0,067
