Op	InType	OutType	Template	DesignStat	DPD	TWDFR
dotnet_shift_right_by_0	unsigned64	unsigned64	sync	impl	1,085	0,120
dotnet_shift_right_by_0	signed64	signed64	sync	impl	1,085	0,120
dotnet_shift_left_by_0	unsigned32	unsigned32	sync	impl	0,793	0,112
dotnet_shift_left_by_0	signed32	signed32	sync	impl	0,793	0,112
dotnet_shift_right_by_0	unsigned32	unsigned32	sync	impl	0,793	0,112
dotnet_shift_right_by_0	signed32	signed32	sync	impl	0,793	0,112
mul_by_1	unsigned1	unsigned1	sync	impl	0,615	0,138
mul_by_1	unsigned8	unsigned8	sync	impl	0,965	0,137
mul_by_1	unsigned16	unsigned16	sync	impl	0,965	0,140
mul_by_1	unsigned32	unsigned32	sync	impl	0,793	0,112
mul_by_1	unsigned64	unsigned64	sync	impl	1,085	0,120
mul_by_1	signed8	signed8	sync	impl	0,965	0,137
mul_by_1	signed16	signed16	sync	impl	0,965	0,140
mul_by_1	signed32	signed32	sync	impl	0,793	0,112
mul_by_1	signed64	signed64	sync	impl	1,085	0,120
div_by_1	unsigned1	unsigned1	sync	impl	0,615	0,138
div_by_1	unsigned8	unsigned8	sync	impl	0,965	0,137
div_by_1	unsigned16	unsigned16	sync	impl	0,965	0,140
div_by_1	unsigned32	unsigned32	sync	impl	0,793	0,112
div_by_1	unsigned64	unsigned64	sync	impl	1,085	0,120
div_by_1	signed8	signed8	sync	impl	0,965	0,137
div_by_1	signed16	signed16	sync	impl	0,965	0,140
div_by_1	signed32	signed32	sync	impl	0,793	0,112
div_by_1	signed64	signed64	sync	impl	1,085	0,120
dotnet_shift_left_by_1	unsigned64	unsigned64	sync	impl	0,988	0,125
dotnet_shift_left_by_1	signed64	signed64	sync	impl	0,988	0,125
dotnet_shift_right_by_1	unsigned64	unsigned64	sync	impl	1,626	0,059
dotnet_shift_right_by_1	signed64	signed64	sync	impl	0,948	0,118
dotnet_shift_left_by_1	unsigned32	unsigned32	sync	impl	1,014	0,136
dotnet_shift_left_by_1	signed32	signed32	sync	impl	1,014	0,136
dotnet_shift_right_by_1	unsigned32	unsigned32	sync	impl	0,965	0,135
dotnet_shift_right_by_1	signed32	signed32	sync	impl	1,056	0,140
mul_by_2	unsigned8	unsigned8	sync	impl	0,964	0,138
mul_by_2	unsigned16	unsigned16	sync	impl	0,965	0,136
mul_by_2	unsigned32	unsigned32	sync	impl	1,014	0,136
mul_by_2	unsigned64	unsigned64	sync	impl	0,988	0,125
mul_by_2	signed8	signed8	sync	impl	0,964	0,138
mul_by_2	signed16	signed16	sync	impl	0,965	0,136
mul_by_2	signed32	signed32	sync	impl	1,014	0,136
mul_by_2	signed64	signed64	sync	impl	0,988	0,125
div_by_2	unsigned8	unsigned8	sync	impl	1,140	0,039
div_by_2	unsigned16	unsigned16	sync	impl	0,944	0,122
div_by_2	unsigned32	unsigned32	sync	impl	0,965	0,135
div_by_2	unsigned64	unsigned64	sync	impl	1,626	0,059
div_by_2	signed8	signed8	sync	impl	2,354	0,138
div_by_2	signed16	signed16	sync	impl	2,086	0,149
div_by_2	signed32	signed32	sync	impl	1,919	0,150
div_by_2	signed64	signed64	sync	impl	2,705	0,115
dotnet_shift_left_by_2	unsigned64	unsigned64	sync	impl	1,128	0,122
dotnet_shift_left_by_2	signed64	signed64	sync	impl	1,128	0,122
dotnet_shift_right_by_2	unsigned64	unsigned64	sync	impl	1,153	0,141
dotnet_shift_right_by_2	signed64	signed64	sync	impl	1,122	0,121
dotnet_shift_left_by_2	unsigned32	unsigned32	sync	impl	0,969	0,137
dotnet_shift_left_by_2	signed32	signed32	sync	impl	0,969	0,137
dotnet_shift_right_by_2	unsigned32	unsigned32	sync	impl	0,965	0,135
dotnet_shift_right_by_2	signed32	signed32	sync	impl	0,966	0,138
mul_by_4	unsigned8	unsigned8	sync	impl	0,965	0,136
mul_by_4	unsigned16	unsigned16	sync	impl	0,945	0,119
mul_by_4	unsigned32	unsigned32	sync	impl	0,969	0,137
mul_by_4	unsigned64	unsigned64	sync	impl	1,128	0,122
mul_by_4	signed8	signed8	sync	impl	0,965	0,136
mul_by_4	signed16	signed16	sync	impl	0,945	0,119
mul_by_4	signed32	signed32	sync	impl	0,969	0,137
mul_by_4	signed64	signed64	sync	impl	1,128	0,122
div_by_4	unsigned8	unsigned8	sync	impl	0,964	0,137
div_by_4	unsigned16	unsigned16	sync	impl	0,965	0,136
div_by_4	unsigned32	unsigned32	sync	impl	0,965	0,135
div_by_4	unsigned64	unsigned64	sync	impl	1,153	0,141
div_by_4	signed8	signed8	sync	impl	2,115	0,116
div_by_4	signed16	signed16	sync	impl	2,176	0,127
div_by_4	signed32	signed32	sync	impl	2,614	0,027
div_by_4	signed64	signed64	sync	impl	2,878	0,029
dotnet_shift_left_by_3	unsigned64	unsigned64	sync	impl	0,993	0,119
dotnet_shift_left_by_3	signed64	signed64	sync	impl	0,993	0,119
dotnet_shift_right_by_3	unsigned64	unsigned64	sync	impl	0,996	0,142
dotnet_shift_right_by_3	signed64	signed64	sync	impl	1,056	0,145
dotnet_shift_left_by_3	unsigned32	unsigned32	sync	impl	0,965	0,136
dotnet_shift_left_by_3	signed32	signed32	sync	impl	0,965	0,136
dotnet_shift_right_by_3	unsigned32	unsigned32	sync	impl	1,014	0,136
dotnet_shift_right_by_3	signed32	signed32	sync	impl	1,018	0,120
mul_by_8	unsigned8	unsigned8	sync	impl	0,671	0,152
mul_by_8	unsigned16	unsigned16	sync	impl	0,965	0,136
mul_by_8	unsigned32	unsigned32	sync	impl	0,965	0,136
mul_by_8	unsigned64	unsigned64	sync	impl	0,993	0,119
mul_by_8	signed8	signed8	sync	impl	0,671	0,152
mul_by_8	signed16	signed16	sync	impl	0,965	0,136
